ts	phase	decision	why	evidence	result
2026-09-10T10:20:00Z	frame	stopped borrowing a literature comparison for the GRU choice and planned our own retrain	the user said the borrowed numbers look strange, and they were weak: Mondal's inference times are a tie and the paper never states its hardware	docs/plans/2026-09-10-gru-leakfree-retrain.md	plan written
2026-09-10T10:22:00Z	frame	mapped the training pipeline before changing it	wanted to know what already exists so we extend it instead of building a second pipeline	apps/experiment/experiment/tuning/gru_hpo.py	leak-free temporal split and embargo already exist here
2026-09-10T10:24:00Z	frame	found the deployed model is synthetic-trained at horizon 9, and its HPO ran at horizon 5	the thesis headline result rests on it, so its protocol is the thing worth fixing	data/models/gru_model.pt metadata, study.json data_source synthetic	recorded
2026-09-10T10:26:00Z	frame	chose to hold out the ClarkNet replay window from training	the testbed replays that exact window, so training on it would make the closed-loop evidence in-sample	clarknet_replay_manifest.json window_start_idx 14470	protocol decision
2026-09-10T10:31:00Z	frame	located the leak in the training function itself	scaler is fit on all values passed in and windows are built before the split	apps/prediction/prediction/gru_predictor.py:206,212,215	confirmed by reading
2026-09-10T10:35:00Z	harness	dispatched one implementer for the coupled pipeline change	the edits share files, so one writer avoids merge damage	agent GruLeakfreeHarness	open
2026-09-10T10:52:00Z	build	amended the protocol to train at the replay amplitude, not raw ClarkNet	the served series is amplified 33x, so a scaler fit on raw values would sit far outside the training range	data/trace-replay/clarknet_replay_manifest.json scale_factor 33.0	amendment delivered
2026-09-10T10:56:00Z	build	added a synthetic arm to the runner so chapter 4 can stop quoting leaky numbers	the published 6.01% and 4.75% came from the July study at horizon 5 through the leaky training path	thesis-typst/src/content/ch04-results.typ:15-29	amendment delivered
2026-09-10T11:40:00Z	build	found the slow smoke run was a missing GPU, not a slow model	the process environment carried an empty CUDA_VISIBLE_DEVICES, so torch reported no device and fell back to CPU	for /proc/893095/environ; 770% CPU for 25 minutes	told the implementer to kill it and rerun with the GPU visible
2026-09-10T11:44:00Z	build	claimed a 31x GPU speedup, then measured it properly and withdrew the claim	the first CPU number was taken while the smoke run held all eight cores, so it measured contention	isolated probes: gpu gru batch32 6.15 ms/step against cpu gru batch32 6.32 ms/step	withdrawn, the GPU is not faster at this batch size
2026-09-10T11:47:00Z	build	checked whether the 780M is officially supported under ROCm 7.2.1	the user asked whether the platform is supported now rather than merely working	rocm.docs.amd.com Radeon and Ryzen page: official APU support covers AI Max 300, select AI 300 and AI 400; the 780M is absent	still unofficial, works through HSA_OVERRIDE_GFX_VERSION=11.0.0
2026-09-10T12:05:00Z	build	mapped where the ROCm path breaks so the study can avoid it	the LSTM arm is required, so a device that hangs on LSTM is unusable	isolated probes: gpu lstm batch32 hang, gpu lstm batch128 hang, gpu gru batch512 hang, gpu gru batch32 pass	cpu only for the study
